Time,Pedal Value,Total Time
1709569869.389275,0.2,11.9594666
1709569869.4896965,0.2,11.9594666
1709569869.5901961,0.2,11.9594666
1709569869.6907115,0.2,11.9594666
1709569869.7911634,0.2,11.9594666
1709569869.8916287,0.2,11.9594666
1709569869.992158,0.2,11.9594666
1709569870.092674,0.2,11.9594666
1709569870.193193,0.2,11.9594666
1709569870.293649,0.2,11.9594666
1709569870.3941789,0.2,11.9594666
1709569870.4946225,0.2,11.9594666
1709569870.595145,0.2,11.9594666
1709569870.6956463,0.2,11.9594666
1709569870.7961202,0.2,11.9594666
1709569870.896671,0.2,11.9594666
1709569870.9971845,0.2,11.9594666
1709569871.097641,0.2,11.9594666
1709569871.1981072,0.2,11.9594666
1709569871.2986312,0.2,11.9594666
1709569871.3990912,0.2,11.9594666
1709569871.499624,0.2,11.9594666
1709569871.6000888,0.2,11.9594666
1709569871.7005603,0.2,11.9594666
1709569871.8010836,0.2,11.9594666
1709569871.9015868,0.2,11.9594666
1709569872.0020497,0.2,11.9594666
1709569872.1025383,0.2,11.9594666
1709569872.2030182,0.2,11.9594666
1709569872.3035226,0.2,11.9594666
1709569872.4040508,0.2,11.9594666
1709569872.5045137,0.2,11.9594666
1709569872.6050196,0.2,11.9594666
1709569872.7055035,0.2,11.9594666
1709569872.8060145,0.2,11.9594666
1709569872.9065185,0.2,11.9594666
1709569873.0070233,0.2,11.9594666
1709569873.1074064,0.2,11.9594666
1709569873.207978,0.2,11.9594666
1709569873.3084433,0.2,11.9594666
1709569873.4089637,0.2,11.9594666
1709569873.5094237,0.2,11.9594666
1709569873.6099527,0.2,11.9594666
1709569873.7104023,0.2,11.9594666
1709569873.81083,0.2,11.9594666
1709569873.9113443,0.2,11.9594666
1709569874.011847,0.2,11.9594666
1709569874.1122947,0.2,11.9594666
1709569874.2127855,0.2,11.9594666
1709569874.313293,0.2,11.9594666
1709569874.413757,0.2,11.9594666
1709569874.514266,0.2,11.9594666
1709569874.6147392,0.2,11.9594666
1709569874.715258,0.2,11.9594666
1709569874.815805,0.2,11.9594666
1709569874.9162762,0.2,11.9594666
1709569875.0167885,0.2,11.9594666
1709569875.1173897,0.2,11.9594666
1709569875.217797,0.2,11.9594666
1709569875.3182669,0.2,11.9594666
1709569875.4187665,0.2,11.9594666
1709569875.519272,0.2,11.9594666
1709569875.6198077,0.2,11.9594666
1709569875.7202818,0.2,11.9594666
1709569875.8207564,0.2,11.9594666
1709569875.9212646,0.2,11.9594666
1709569876.021784,0.2,11.9594666
1709569876.1222644,0.2,11.9594666
1709569876.2227073,0.2,11.9594666
1709569876.3231936,0.2,11.9594666
1709569876.4236674,0.2,11.9594666
1709569876.5241022,0.2,11.9594666
1709569876.624488,0.2,11.9594666
1709569876.7249944,0.2,11.9594666
1709569876.8254497,0.2,11.9594666
1709569876.9259279,0.2,11.9594666
1709569877.0264008,0.2,11.9594666
1709569877.1268165,0.2,11.9594666
1709569877.2272599,0.2,11.9594666
1709569877.3277895,0.2,11.9594666
1709569877.4282224,0.2,11.9594666
1709569877.5286882,0.2,11.9594666
1709569877.6291575,0.2,11.9594666
1709569877.7296643,0.2,11.9594666
1709569877.8301659,0.2,11.9594666
1709569877.930651,0.2,11.9594666
1709569878.0311048,0.2,11.9594666
1709569878.131579,0.2,11.9594666
1709569878.2320473,0.2,11.9594666
1709569878.3324172,0.2,11.9594666
1709569878.4329681,0.2,11.9594666
1709569878.5334535,0.2,11.9594666
1709569878.633918,0.2,11.9594666
1709569878.7342172,0.2,11.9594666
1709569878.8346705,0.2,11.9594666
1709569878.9352198,0.2,11.9594666
1709569879.0355642,0.2,11.9594666
1709569879.1358674,0.2,11.9594666
1709569879.2362123,0.2,11.9594666
1709569879.3368955,0.0,11.9594666
1709569869.389275,0.2,11.9594666
1709569869.4896965,0.2,11.9594666
1709569869.5901961,0.2,11.9594666
1709569869.6907115,0.2,11.9594666
1709569869.7911634,0.2,11.9594666
1709569869.8916287,0.2,11.9594666
1709569869.992158,0.2,11.9594666
1709569870.092674,0.2,11.9594666
1709569870.193193,0.2,11.9594666
1709569870.293649,0.2,11.9594666
1709569870.3941789,0.2,11.9594666
1709569870.4946225,0.2,11.9594666
1709569870.595145,0.2,11.9594666
1709569870.6956463,0.2,11.9594666
1709569870.7961202,0.2,11.9594666
1709569870.896671,0.2,11.9594666
1709569870.9971845,0.2,11.9594666
1709569871.097641,0.2,11.9594666
1709569871.1981072,0.2,11.9594666
1709569871.2986312,0.2,11.9594666
1709569871.3990912,0.2,11.9594666
1709569871.499624,0.2,11.9594666
1709569871.6000888,0.2,11.9594666
1709569871.7005603,0.2,11.9594666
1709569871.8010836,0.2,11.9594666
1709569871.9015868,0.2,11.9594666
1709569872.0020497,0.2,11.9594666
1709569872.1025383,0.2,11.9594666
